ticket_id,created_at,last_updated,customer_id,removal_status,platform,successfully_removed_date,price_for_successful_removal,currency,billing_type
tkt_100087,2025-09-28 00:00:00,2025-10-05 00:00:00,cust_000697,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_100097,2025-11-09 00:00:00,2025-11-09 00:00:00,cust_000697,Not Started,Google,,500.00,AUD,Pay Per Removal
tkt_100348,2025-07-06 00:00:00,2025-07-20 00:00:00,cust_000699,Unsuccessful,Other,,375.00,USD,Pay Per Removal
tkt_100357,2025-09-14 00:00:00,2025-09-15 00:00:00,cust_000699,Successful,Glassdoor,2025-09-15 00:00:00,375.00,USD,Pay Per Removal
tkt_100367,2025-12-10 00:00:00,2026-01-03 00:00:00,cust_000699,Unsuccessful,Other,,375.00,USD,Pay Per Removal
tkt_100672,2025-07-17 00:00:00,2025-08-02 00:00:00,cust_000700,Successful,Google,2025-08-02 00:00:00,375.00,USD,Pay Per Removal
tkt_100682,2025-09-02 00:00:00,2025-10-16 00:00:00,cust_000700,Successful,Google,2025-10-16 00:00:00,375.00,USD,Pay Per Removal
tkt_100692,2025-09-27 00:00:00,2025-10-05 00:00:00,cust_000700,Unsuccessful,Other,,375.00,USD,Pay Per Removal
tkt_100702,2025-11-16 00:00:00,2026-01-28 00:00:00,cust_000700,In Progress,Google,,375.00,USD,Pay Per Removal
tkt_100712,2025-12-02 00:00:00,2026-01-27 00:00:00,cust_000700,In Progress,Glassdoor,,375.00,USD,Pay Per Removal
tkt_100722,2026-01-28 00:00:00,2026-01-29 00:00:00,cust_000700,In Progress,Glassdoor,,375.00,USD,Pay Per Removal
tkt_100932,2025-12-23 00:00:00,2025-12-26 00:00:00,cust_000702,Not Started,Other,,500.00,AUD,Pay Per Removal
tkt_101106,2025-10-19 00:00:00,2025-10-20 00:00:00,cust_000704,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
tkt_101116,2025-11-15 00:00:00,2025-11-16 00:00:00,cust_000704,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_101126,2026-01-20 00:00:00,2026-01-22 00:00:00,cust_000704,Not Started,Other,,375.00,USD,Pay Per Removal
tkt_101414,2025-07-16 00:00:00,2025-09-23 00:00:00,cust_000707,Successful,Google,2025-09-23 00:00:00,375.00,USD,Pay Per Removal
tkt_101424,2025-09-26 00:00:00,2025-10-03 00:00:00,cust_000707,Successful,Google,2025-10-03 00:00:00,375.00,USD,Pay Per Removal
tkt_101434,2025-11-16 00:00:00,2025-11-16 00:00:00,cust_000707,Successful,Google,2025-11-16 00:00:00,375.00,USD,Pay Per Removal
tkt_101594,2025-07-03 00:00:00,2026-01-20 00:00:00,cust_000708,In Progress,Glassdoor,,375.00,USD,Pay Per Removal
tkt_101604,2025-09-17 00:00:00,2025-10-15 00:00:00,cust_000708,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
tkt_101614,2025-11-12 00:00:00,2026-01-16 00:00:00,cust_000708,In Progress,Google,,375.00,USD,Pay Per Removal
tkt_101915,2025-07-10 00:00:00,2025-07-31 00:00:00,cust_000709,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_101925,2025-08-14 00:00:00,2025-08-15 00:00:00,cust_000709,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
tkt_101935,2025-09-20 00:00:00,2025-10-11 00:00:00,cust_000709,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_101945,2025-10-26 00:00:00,2025-11-13 00:00:00,cust_000709,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
tkt_101955,2025-11-22 00:00:00,2026-01-21 00:00:00,cust_000709,In Progress,Google,,375.00,USD,Pay Per Removal
tkt_101965,2025-12-23 00:00:00,2026-01-20 00:00:00,cust_000709,In Progress,Glassdoor,,375.00,USD,Pay Per Removal
tkt_101975,2026-01-23 00:00:00,2026-01-25 00:00:00,cust_000709,Not Started,Glassdoor,,375.00,USD,Pay Per Removal
tkt_102286,2025-07-13 00:00:00,2025-07-23 00:00:00,cust_000715,Unsuccessful,Google,,500.00,AUD,Pay Per Removal
tkt_102452,2025-07-09 00:00:00,2025-08-01 00:00:00,cust_000717,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
tkt_102870,2025-07-30 00:00:00,2025-08-26 00:00:00,cust_000721,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_102880,2025-09-02 00:00:00,2025-10-02 00:00:00,cust_000721,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_102890,2025-10-27 00:00:00,2026-01-17 00:00:00,cust_000721,In Progress,Google,,375.00,USD,Pay Per Removal
tkt_102900,2025-12-12 00:00:00,2025-12-14 00:00:00,cust_000721,Not Started,Other,,375.00,USD,Pay Per Removal
tkt_102910,2026-01-02 00:00:00,2026-01-15 00:00:00,cust_000721,In Progress,Google,,375.00,USD,Pay Per Removal
tkt_103133,2025-09-21 00:00:00,2025-09-22 00:00:00,cust_000723,Successful,Google,2025-09-22 00:00:00,375.00,USD,Pay Per Removal
tkt_103143,2025-12-24 00:00:00,2025-12-26 00:00:00,cust_000723,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_103322,2025-10-08 00:00:00,2025-10-08 00:00:00,cust_000725,Not Started,Other,,375.00,USD,Pay Per Removal
tkt_103597,2025-09-26 00:00:00,2025-10-31 00:00:00,cust_000728,Unsuccessful,Other,,500.00,AUD,Pay Per Removal
tkt_103933,2025-07-19 00:00:00,2025-08-06 00:00:00,cust_000729,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
tkt_103943,2025-09-04 00:00:00,2025-09-06 00:00:00,cust_000729,Successful,Google,2025-09-06 00:00:00,375.00,USD,Pay Per Removal
tkt_103952,2025-10-04 00:00:00,2025-10-13 00:00:00,cust_000729,Unsuccessful,Other,,375.00,USD,Pay Per Removal
tkt_10404,2025-08-25 00:00:00,2025-09-02 00:00:00,cust_000076,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_104125,2025-07-10 00:00:00,2025-08-01 00:00:00,cust_000730,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_104134,2025-10-11 00:00:00,2025-10-27 00:00:00,cust_000730,Unsuccessful,Other,,375.00,USD,Pay Per Removal
tkt_104143,2025-12-08 00:00:00,2025-12-08 00:00:00,cust_000730,Not Started,Google,,375.00,USD,Pay Per Removal
tkt_10418,2025-12-16 00:00:00,2026-01-16 00:00:00,cust_000076,In Progress,Glassdoor,,375.00,USD,Pay Per Removal
tkt_104386,2025-08-12 00:00:00,2025-08-29 00:00:00,cust_000382,Unsuccessful,Google,,375.00,USD,Pay Per Removal
tkt_104396,2025-12-27 00:00:00,2025-12-29 00:00:00,cust_000382,Successful,Glassdoor,2025-12-29 00:00:00,375.00,USD,Pay Per Removal
tkt_104550,2025-08-05 00:00:00,2025-08-12 00:00:00,cust_000733,Unsuccessful,Glassdoor,,375.00,USD,Pay Per Removal
