line_item_id,invoice_id,product_id,product_family_name,currency_code,line_amount,description,ticket_id
li_0013908,inv_013908,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0055024,inv_036847,,PPR Charge,AUD,500.00,PPR Charge for tkt_125727,tkt_125727
li_0055025,inv_036847,,PPR Charge,AUD,500.00,PPR Charge for tkt_125669,tkt_125669
li_0055026,inv_036847,,PPR Charge,AUD,500.00,PPR Charge for tkt_125692,tkt_125692
li_0055027,inv_036847,,PPR Charge,AUD,500.00,PPR Charge for tkt_125701,tkt_125701
li_0055028,inv_036847,,PPR Charge,AUD,500.00,PPR Charge for tkt_125658,tkt_125658
li_0055029,inv_036847,,PPR Charge,AUD,500.00,PPR Charge for tkt_125656,tkt_125656
li_0055030,inv_036847,,PPR Charge,AUD,500.00,PPR Charge for tkt_125666,tkt_125666
li_0055031,inv_036847,,PPR Charge,AUD,500.00,PPR Charge for tkt_125671,tkt_125671
li_0055032,inv_036847,,PPR Charge,AUD,500.00,PPR Charge for tkt_125731,tkt_125731
li_0055033,inv_036847,,PPR Charge,AUD,500.00,PPR Charge for tkt_125652,tkt_125652
li_0018409,inv_018409,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0055088,inv_036873,,PPR Charge,AUD,500.00,PPR Charge for tkt_125926,tkt_125926
li_0055089,inv_036873,,PPR Charge,AUD,500.00,PPR Charge for tkt_125946,tkt_125946
li_0055090,inv_036873,,PPR Charge,AUD,500.00,PPR Charge for tkt_125986,tkt_125986
li_0055091,inv_036873,,PPR Charge,AUD,500.00,PPR Charge for tkt_125919,tkt_125919
li_0055092,inv_036873,,PPR Charge,AUD,500.00,PPR Charge for tkt_125974,tkt_125974
li_0055093,inv_036873,,PPR Charge,AUD,500.00,PPR Charge for tkt_125967,tkt_125967
li_0055094,inv_036873,,PPR Charge,AUD,500.00,PPR Charge for tkt_125928,tkt_125928
li_0055095,inv_036873,,PPR Charge,AUD,500.00,PPR Charge for tkt_125984,tkt_125984
li_0018020,inv_018020,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0010951,inv_010951,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0003325,inv_003325,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0014335,inv_014335,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0014561,inv_014561,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0007519,inv_007519,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
li_0001995,inv_001995,prod_4,WatchDog,USD,79.00,Premium (USD) subscription payment,
li_0014293,inv_014293,prod_2,WatchDog,AUD,99.00,Premium (AUD) subscription payment,
